number,target0,threshold0,clip0,target1,clip1,prob0,mean0,stddev0,prob1,mean1,stddev1,prob_joined
1460,er,158,1.9,em,3.1000000000000014,0.536,80.51723999999999,8.778665651589362,0.423,157.35415500000008,19.53010443491809,0.206
1470,er,158,1.7999999999999998,em,3.2000000000000015,0.483,79.26854399999996,9.4234533266775,0.522,160.6245480000002,19.603077487770857,0.234
1480,er,158,1.9,em,3.1000000000000014,0.547,80.903448,9.268728859519557,0.41,156.29821200000012,19.14988443267866,0.221
1490,er,158,1.7999999999999998,em,3.2000000000000015,0.498,79.50700800000011,9.95446084245197,0.519,160.55461800000006,18.593596102958205,0.242
1500,er,158,1.7999999999999998,em,3.2000000000000015,0.507,79.70594399999999,9.375218472380372,0.509,160.27956000000026,18.147460032585105,0.246
1510,er,158,1.7999999999999998,em,3.2000000000000015,0.481,79.25428799999992,9.590057692270204,0.542,161.80170300000017,19.85273589610864,0.237
1520,er,158,1.9,em,3.1000000000000014,0.557,80.95658400000003,9.17748541305994,0.43,157.44739500000023,18.229548950011438,0.225
1530,er,158,1.7999999999999998,em,3.2000000000000015,0.501,79.86405600000008,9.002443426361884,0.534,161.48002500000018,19.103874718815607,0.268
1540,er,158,1.9,em,3.1000000000000014,0.563,81.13932000000001,9.322663532788868,0.409,156.41942400000013,18.367508505622308,0.227
1550,er,158,1.7999999999999998,em,3.2000000000000015,0.518,80.06039999999997,8.987774015850796,0.566,160.570935,17.385537344490075,0.278
1560,er,158,1.9,em,3.1000000000000014,0.561,81.556632,9.195280263296363,0.434,156.81569399999998,18.030088965900227,0.217
1570,er,158,1.7999999999999998,em,3.2000000000000015,0.534,80.83281599999997,8.83096901082404,0.522,160.81569000000016,18.481743298394605,0.274
1580,er,158,1.7999999999999998,em,3.2000000000000015,0.505,79.78500000000005,9.208519475788975,0.547,161.59424400000003,19.903931683875342,0.245
1590,er,158,1.9,em,3.1000000000000014,0.604,82.13918400000004,9.079713382598202,0.438,157.85532000000023,19.098501944012167,0.256
1600,er,158,1.7999999999999998,em,3.2000000000000015,0.522,80.20684799999997,9.236758112719182,0.554,161.48701800000035,18.44713931040433,0.287
1610,er,158,1.7999999999999998,em,3.2000000000000015,0.534,80.58722399999999,8.923438363648062,0.548,160.9182540000002,17.67581238374593,0.279
1620,er,158,1.7999999999999998,em,3.2000000000000015,0.539,80.4952079999999,9.082689382157039,0.558,161.4963420000004,17.86350348567754,0.293
1630,er,158,1.7999999999999998,em,3.2000000000000015,0.515,80.23535999999999,9.190769287844864,0.582,162.40077000000025,18.674656329339385,0.282
1640,er,158,1.9,em,3.1000000000000014,0.569,81.62532000000004,8.808791375074303,0.435,158.07676500000028,18.76893278163602,0.223
1650,er,158,1.7999999999999998,em,3.2000000000000015,0.526,80.73237599999997,9.163472249460037,0.567,161.78771700000019,18.280353996593053,0.3
1660,er,158,1.7999999999999998,em,3.2000000000000015,0.56,80.63064000000008,9.364689652859699,0.551,160.81802100000027,17.7986647494791,0.286
1670,er,158,1.7999999999999998,em,3.2000000000000015,0.521,80.725896,8.930701841467528,0.57,162.92757600000044,19.337072351106915,0.287
1680,er,158,1.7999999999999998,em,3.2000000000000015,0.565,81.56181599999998,9.07068795969462,0.548,160.93923300000034,17.917969730817866,0.302
1690,er,158,1.7999999999999998,em,3.2000000000000015,0.555,81.26503199999993,8.991189003851645,0.578,162.07676100000003,18.55350645947532,0.307
1700,er,158,1.7999999999999998,em,3.2000000000000015,0.584,81.55533599999997,8.688821055534413,0.572,162.12571200000042,17.913139121571962,0.327
